VehicleID,VehicleType,total_miles
66,"2015 CHEVROLET EXPRESS VAN",5042.73
168,"2019 CHEVROLET EXPRESS 3500",5340.21
112,"FORD ECON E350 VAN",6665.4
229,"FORD ECON E350 VAN",1650.72
257,"FORD ECON E350 VAN",4611.6
100,"TOYOTA SEINNA VAN",5161.2
86,"2020 TOYOTA SIENNA",4796.31
247,"TOYOTA SEINNA VAN",2193.17
234,"2015 TOYOTA SIENNA VAN",5267.43
192,"2017 CHEVROLET EXPRESS VAN",4738.4
40,"2013 CHEV EXP VAN",3778.56
109,"2015 CHEVROLET EXPRESS VAN",4668.8
83,"CHEV 15 PASSENGER VAN",4862.34
73,"2017 CHEVROLET EXPRESS VAN",4417.12
136,"2019 CHEVROLET EXPRESS VAN",4556.86
133,"2019 TOYOTA SIENNA 7 PASS",3720.75
50,"2017 TOYOTA SIENNA",3614.82
226,"2019 Chevy Express 3500",4820.2
42,"2017 TOYOTA SIENNA",2959.2
54,"2015 TOYOTA SIENNA VAN",3559.38
62,"2015 CHEVROLET EXPRESS VAN",5356
216,"2012 FORD ECONOLINE E350",2595
63,"2015 TOYOTA SIENNA VAN",2478.72
225,"2015 CHEVROLET EXPRESS VAN",2805.6
72,"2019 TOYOTA SIENNA 7 PASS",2702.7
193,"2019 Chevy Express 3500",3598.56
167,"TOYOTA SEINNA VAN",3539.52
69,"2017 CHEVROLET EXPRESS VAN",3114.24
131,"2019 CHEVROLET EXPRESS VAN",5665.18
132,"2017 CHEVROLET EXPRESS VAN",17952.62
120,"2019 CHEVROLET EXPRESS VAN",5661.64
121,"2017 CHEVROLET EXPRESS VAN",5853.56
122,"2015 CHEVROLET EXPRESS VAN",4318.2
125,"2016 CHEVROLET EXPRESS VAN",5661.64
36,"2017 CHEVROLET EXPRESS VAN",2870.4
260,"TOYOTA SEINNA VAN",3056.63
149,"2016 TOYOTA SIENNA VAN",3022.14
245,"2019 TOYOTA SIENNA 7 PASS",3001.02
152,"2014 TOYOTA SIENNA FWD",3706.4
254,"2019 CHEVROLET EXPRESS VAN",3536.4
79,"FORD ECON E350 VAN",3803.1
269,"2011 TOYOTA SIENNA VAN",1420.48
51,"2015 TOYOTA SIENNA VAN",3015.13
59,"2014 TOYOTA SIENNA FWD",2123.76
65,"2015 TOYOTA SIENNA VAN",2801.26
240,"2019 Chevy Express 3500",3318.95
111,"2013 CHEV EXP VAN",2387.1
139,"2015 TOYOTA SIENNA VAN",3340.26
191,"2019 CHEVROLET EXPRESS VAN",3139.6
150,"2017 TOYOTA SIENNA",3316.74
130,"2019 TOYOTA SIENNA 7 PASS",3063.06
198,"2014 TOYOTA SIENNA FWD",3306.24
48,"2013 TOYOTA SIENNA VAN",2850.48
88,"2019 Chevy Express 3500",3308.42
92,"2019 CHEVROLET EXPRESS VAN",3088.8
104,"2015 CHEVROLET EXPRESS VAN",3060.65
252,"2015 TOYOTA SIENNA VAN",1894.5
228,"2019 CHEVROLET EXPRESS 3500",3523.59
126,"2012 TOYOTA SIENNA",3093.3
157,"2014 TOYOTA SIENNA FWD",3093.3
188,"2015 CHEVROLET EXPRESS VAN",3008.04
138,"2015 CHEVROLET EXPRESS VAN",2965.62
140,"CHEV EXPRESS VAN",3036.23
165,"CHEVROLET EXPRESS VAN",2965.62
196,"2011CHEV EXPRESS VAN",2890.46
99,"2019 CHEVROLET EXPRESS VAN",2886.8
45,"2014 TOYOTA SIENNA FWD",2363.13
105,"2015 TOYOTA SIENNA VAN",2997.54
89,"2016 TOYOTA SIENNA VAN",2854.8
41,"2014 TOYOTA SIENNA FWD",2197.59
80,"2013 CHEV EXP VAN",2764.71
203,"2013 CHEV EXP VAN",3638.52
204,"2013 CHEV EXP VAN",3638.52
207,"2015 CHEVROLET EXPRESS VAN",3975.42
153,"2019 TOYOTA SIENNA 7 PASS",2331.38
217,"2016 TOYOTA SIENNA VAN",2742
213,"2015 TOYOTA SIENNA VAN",2591.6
255,"2017 CHEVROLET EXPRESS VAN",2286.84
39,"2014 TOYOTA SIENNA FWD",2263.38
61,"2017 CHEVROLET EXPRESS VAN",2196.81
95,"2015 TOYOTA SIENNA VAN",2731.01
238,"2016 TOYOTA SIENNA VAN",2673.6
46,"2016 TOYOTA SIENNA VAN",2028.6
53,"2017 CHEVROLET EXPRESS VAN",2225.85
49,"2015 TOYOTA SIENNA VAN",1841.28
124,"2015 CHEVROLET EXPRESS VAN",2831.55
190,"2017 CHEVROLET EXPRESS VAN",2470
108,"2017 CHEVROLET EXPRESS VAN",2502.24
160,"2016 TOYOTA SIENNA VAN",3691.89
68,"2012 FORD ECONOLINE E350",2736.95
113,"2015 CHEVROLET EXPRESS VAN",2715.45
114,"2015 CHEVROLET EXPRESS VAN",2732.65
115,"CHEVROLET 15 PASSENGER VAN",2732.65
116,"2016 CHEVROLET EXPRESS VAN",2732.65
117,"CHEVROLET EXPRESS VAN",2732.65
56,"2017 CHEVROLET EXPRESS VAN",1384.68
43,"2014 TOYOTA SIENNA FWD",3192.09
81,"2015 CHEVROLET EXPRESS VAN",2585.1
93,"2014 TOYOTA SIENNA FWD",2824.49
147,"2013 TOYOTA SIENNA VAN",1653.75
90,"2015 TOYOTA SIENNA VAN",2559.48
236,"2017 CHEVROLET EXPRESS VAN",2559.48
87,"2013 CHEV EXP VAN",2349.75
235,"2015 CHEVROLET EXPRESS VAN",2214.82
197,"2017 CHEVROLET EXPRESS VAN",1723.47
227,"2017 CHEVROLET EXPRESS VAN",1965.15
141,"2013 CHEV EXP VAN",1527.24
118,"CHEV 15 PASSENGER VAN",2541.3
135,"TOYOTA SEINNA VAN",982.43
144,"2012 TOYOTA SIENNA VAN",2776.05
106,"2015 TOYOTA SIENNA VAN",2197.92
91,"2014 TOYOTA SIENNA FWD",829.22
35,"FORD ECON E350 VAN",1778.78
200,"2019 TOYOTA SIENNA 7 PASS",1738.08
205,"2016 CHEVROLET EXPRESS VAN",3292.79
208,"FORD ECON E350 VAN",1618.49
209,"2015 CHEVROLET EXPRESS VAN",2902.12
210,"2015 CHEVROLET EXPRESS VAN",3013.74
74,"FORD E350 VAN",1582
143,"TOYOTA SIENNA VAN",1857.8
218,"2014 TOYOTA SIENNA FWD",2225.2
243,"2019 TOYOTA SIENNA 7 PASS",1925.35
206,"2016 CHEVROLET EXPRESS VAN",3223.76
163,"2013 CHEV EXP VAN",2166.8
215,"2016 TOYOTA SIENNA VAN",1732.16
70,"2016 CHEVROLET EXPRESS VAN",1507.52
164,"2014 TOYOTA SIENNA FWD",1975.06
259,"2013 CHEV EXP VAN",1648.89
256,"2015 CHEVROLET EXPRESS VAN",3093.96
231,"2017 FORD TRANSIT VAN",3191.52
128,"TOYOTA SEINNA VAN",2165.21
142,"FORD E350 VAN",2084.04
156,"FORD E350 VAN",2083.2
181,"2016 CHEVROLET EXPRESS VAN",2083.2
107,"2019 TOYOTA SIENNA 7 PASS",2506.56
71,"2019 TOYOTA SIENNA 7 PASS",2209.2
37,"2012 TOYOTA SIENNA VAN",1593.4
134,"TOYOTA SIENNA VAN 2011YR",2457.84
187,"2017 CHEVROLET EXPRESS VAN",1830.84
58,"2012 TOYOTA SIENNA VAN",1620.96
250,"2017 CHEVROLET EXPRESS VAN",1992.19
249,"2016 CHEVROLET EXPRESS VAN",2005.5
38,"2011 TOYOTA SIENNA VAN",143.28
75,"FORD E350 VAN",1734.93
222,"TOYOTA SEINNA VAN",2042.07
246,"FORD E350 VAN",2825.4
221,"2016 TOYOTA SIENNA VAN",1906.91
202,"FORD E35O PASSENGER VANS",2648.79
94,"FORD ECON E350 VAN",1912.89
96,"2015 CHEVROLET EXPRESS VAN",1923.18
270,"2016 CHEVROLET EXPRESS VAN",1324.43
64,"2019 TOYOTA SIENNA 7 PASS",946.26
103,"2016 CHEVROLET EXPRESS VAN",1562.98
102,"2013 CHEV EXP VAN",1235.25
194,"2012 TOYOTA SIENNA",168.64
244,"2019 TOYOTA SIENNA 7 PASS",1079.28
258,"FORD E35O PASSENGER VANS",1799.46
77,"CHEV EXPRESS VAN",1904.07
239,"2015 TOYOTA SIENNA VAN",126.03
82,"2016 CHEVROLET EXPRESS VAN",1760.22
146,"FORD E350 VAN",2307.2
84,"2015 TOYOTA SIENNA VAN",1715.28
145,"FORD E35O PASSENGER VANS",2263.52
265,"FORD E350 VAN",1534.82
55,"2011YR TOYOTA SIENNA VAN",1222.64
253,"2014 TOYOTA SIENNA FWD",1443.74
183,"FORD E350 VAN",1527.63
123,"2015 TOYOTA SIENNA VAN",1268.85
211,"2012 FORD ECONOLINE E350",644.98
237,"2014 TOYOTA SIENNA FWD",1205.44
129,"TOYOTA SEINNA VAN",980.64
272,"2019 Chevy Express 3500",1051.25
154,"2013 TOYOTA SIENNA VAN",74.92
148,"2019 TOYOTA SIENNA 7 PASS",1135.2
161,"FORD E35O PASSENGER VANS",1601.55
189,"2013 CHEV EXP VAN",801.09
201,"2015 CHEVROLET EXPRESS VAN",2116.09
119,"2015 CHEVROLET EXPRESS VAN",1215.2
177,"2014 TOYOTA SIENNA FWD",525.75
101,"TOYOTA SIENNA VAN",1258.56
214,"TOYOTA SIENNA VAN",1613.28
174,"2016 CHEVROLET EXPRESS VAN",1771.26
110,"FORD ECON E350 VAN",1164.1
271,"2019 Chevy Express 3500",766.59
44,"TOYOTA SEINNA VAN YR2011",1031.1
266,"2013 CHEV EXP VAN",1116.85
262,"2019 Chevy Express 3500",1798.92
263,"2019 CHEVROLET EXPRESS 3500",1798.92
264,"2019 CHEVROLET EXPRESS 3500",1357.08
67,"TOYOTA SIENNA VAN",1104.25
137,"FORD 11 PASSENGER VAN",1925.1
52,"2019 TOYOTA SIENNA 7 PASS",1020.69
232,"2015 TOYOTA SIENNA VAN",1427.58
97,"FORD E350 VAN",1042.65
57,"2019 TOYOTA SIENNA 7 PASS",867.6
179,"FORD E35O PASSENGER VANS",867.3
78,"FORD E350 15 PASS VAN",1207.92
159,"2015 TOYOTA SIENNA VAN",1786.22
186,"2011 TOYOTA SIENNA VAN",1537.76
98,"2017 FORD TRANSIT VAN",1907.12
273,"2019 Chevy Express 3500",592.9
219,"2017 FORD TRANSIT VAN",1239.75
233,"2016 CHEVROLET EXPRESS VAN",1375.4
47,"TOYOTA SEINNA VAN",570.9
195,"FORD ECON E350 VAN",1490.4
162,"2016 CHEVROLET EXPRESS VAN",1441.88
172,"FORD ECON E350 VAN",934.8
185,"2013 CHEV EXP VAN",984
224,"FORD E350 VAN",1500.6
171,"2017 CHEVROLET EXPRESS VAN",829.6
248,"2016 CHEVROLET EXPRESS VAN",967.2
267,"2013 CHEV EXP VAN",1079.1
268,"2016 CHEVROLET EXPRESS VAN",1414.82
175,"TOYOTA SEINNA VAN",1032.43
184,"2015 CHEVROLET EXPRESS VAN",1287.36
180,"FORD ECON E350 VAN",1585.72
182,"2014 TOYOTA SIENNA FWD",1393.14
7,"2012 FORD ECONOLINE E350",513.82
21,"FORD E35O PASSENGER VANS",401.94
173,"TOYOTA SEINNA VAN",912.46
212,"TOYOTA SIENNA VAN",811.3
169,"2019 TOYOTA SIENNA 7 PASS",894.43
223,"TOYOTA SIENNA VAN",996.4
230,"FORD E35O PASSENGER VANS",1144.8
155,"2013 TOYOTA SIENNA VAN",1109.82
158,"FORD 12 PASSENGER VAN",768.86
220,"2016 CHEVROLET EXPRESS VAN",1184.46
242,"TOYOTA SEINNA VAN",1288.36
127,"FORD F35O PASSENGER VANS",240
76,"2013 TOYOTA SIENNA VAN",464.6
251,"TOYOTA SIENNA VAN",373.54
178,"2013 CHEV EXP VAN",715.21
170,"2012 FORD ECONOLINE E350",889.24
261,"2019 CHEVROLET EXPRESS VAN",908.16
60,"2015 TOYOTA SIENNA VAN",786.24
5,"FORD E350 VAN",101.16
3,"FORD E350 VAN",677.88
4,"FORD ECON E350 VAN",677.88
6,"CHEV 15 PASSENGER VAN",677.88
151,"2016 CHEVROLET EXPRESS VAN",923.8
29,"2015 CHEVROLET EXPRESS VAN",606.9
18,"2012 FORD ECONOLINE E350",606.06
19,"2012 FORD ECONOLINE WAGON",613.62
20,"2017 FORD TRANSIT VAN",503.94
166,"2012 FORD ECONOLINE E350",107.37
27,"FORD E35O PASSENGER VANS",454.02
10,"CHEV 15 PASSENGER VAN",471.24
33,"2016 CHEVROLET EXPRESS VAN",461.58
34,"2016 CHEVROLET EXPRESS VAN",466.41
11,"FORD E35O PASSENGER VANS",459.9
15,"CHEVROLET EXPRESS VAN",459.9
1,"CHEV EXPRESS VAN",458.64
2,"CHEV 15 PASSENGER VAN",457.8
16,"FORD ECON E350 VAN",441.42
13,"FORD E35O PASSENGER VANS",452.5
17,"FORD E350 VAN",415.81
28,"FORD E35O PASSENGER VANS",377.13
199,"FORD E35O PASSENGER VANS",232.81
32,"TOYOTA SEINNA VAN",99.32
22,"FORD E35O PASSENGER VANS",271
23,"FORD ECON E350 VAN",271
24,"2013 CHEV EXP VAN",271
12,"2011CHEV EXPRESS VAN",232.68
14,"FORD E35O PASSENGER VANS",195.98
25,"FORD ECON E350 VAN",176.86
30,"FORD ECON E350 VAN",147.6
8,"CHEVROLET EXPRESS VAN",114.24
9,"CHEV 15 PASSENGER VAN",112.98
31,"FORD E35O PASSENGER VANS",86.26
26,"CHEV EXPRESS VAN",83.6
241,"2015 CHEVROLET EXPRESS VAN",65.86
176,"FORD E35O PASSENGER VANS",0.86
85,"2020 TOYOTA SIENNA",1276.32
